"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5921","@smoke verify tproduct Information data","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
"","2479","@smoke Login Page title test","chromium","2026-06-27","passed","2026-06-27","","loginpage.spec.ts","",""
"","4990","@smoke verify the the product images count","chromium","2026-06-27","passed","2026-06-27","","productpage.spec.ts","",""
